2026-03-14T05:42:12.890 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:14.069 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:15.077 | INFO     | utils.cache | Cache invalidated for pattern: drops_config:1:yourchy:, deleted 1 keys
2026-03-14T05:42:15.079 | INFO     | core.middleware | PUT /api/drops/config/yourchy - Status: 200 - Time: 0.024s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:16.498 | INFO     | utils.cache | Cache invalidated for pattern: drops_config:1:yourchy:, deleted 0 keys
2026-03-14T05:42:16.500 | INFO     | core.middleware | PUT /api/drops/config/yourchy - Status: 200 - Time: 0.021s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:17.201 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.014s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:18.563 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.010s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:19.584 | INFO     | utils.cache | Cache invalidated for pattern: drops_config:1:yourchy:, deleted 0 keys
2026-03-14T05:42:19.586 | INFO     | core.middleware | PUT /api/drops/config/yourchy - Status: 200 - Time: 0.022s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:21.985 | INFO     | services.stream_info_service | [STREAM_INFO] Getting stream info for user_id=1, platform=twitch
2026-03-14T05:42:21.988 | INFO     | platforms.registry | Registered Twitch platform
2026-03-14T05:42:21.997 | INFO     | platforms.registry | Registered VK platform
2026-03-14T05:42:21.998 | INFO     | platforms.registry | Platform registry initialized with 2 platforms
2026-03-14T05:42:22.001 | INFO     | services.stream_info_service | [STREAM_INFO] Twitch username: yourchy
2026-03-14T05:42:22.031 | INFO     | core.middleware | GET /api/stream/history - Status: 200 - Time: 0.056s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:23.448 | INFO     | integrations.twitch.oauth | [TWITCH] App access token refreshed successfully
2026-03-14T05:42:23.895 | INFO     | services.stream_info_service | [STREAM_INFO] get_stream_status result: None
2026-03-14T05:42:23.895 | INFO     | services.stream_info_service | [STREAM_INFO] is_live: False
2026-03-14T05:42:23.896 | INFO     | services.stream_info_service | [STREAM_INFO] Stream offline, fetching channel_info for yourchy
2026-03-14T05:42:24.349 | INFO     | services.stream_info_service | [STREAM_INFO] channel_info result: {'broadcaster_id': '75969278', 'broadcaster_login': 'yourchy', 'broadcaster_name': 'Yourchy', 'broadcaster_language': 'ru', 'game_id': '385322663', 'game_name': 'Dot', 'title': 'autotest title 1529', 'delay': 0, 'tags': [], 'content_classification_labels': [], 'is_branded_content': False}
2026-03-14T05:42:24.350 | INFO     | services.stream_info_service | [STREAM_INFO] Using channel_info, title: autotest title 1529
2026-03-14T05:42:24.571 | INFO     | services.stream_info_service | [STREAM_INFO] Final result: title=autotest title 1529, game=Dot, is_live=False
2026-03-14T05:42:24.571 | WARNING  | middleware.logging_middleware | slow_request                   duration_ms=2596.99 environment=development filename=logging_middleware.py func_name=dispatch lineno=158 method=GET path=/api/twitch/stream-info service=bot_service threshold_ms=1000 version=0.03
2026-03-14T05:42:24.572 | INFO     | core.middleware | GET /api/twitch/stream-info - Status: 200 - Time: 2.601s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.224 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.047s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.226 | INFO     | core.middleware | GET /api/tts/mode-settings - Status: 200 - Time: 0.045s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.228 | INFO     | core.middleware | GET /api/tts/filtered-words - Status: 200 - Time: 0.045s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.229 | INFO     | core.middleware | GET /api/tts/platform-settings - Status: 200 - Time: 0.047s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.229 | INFO     | core.middleware | GET /api/tts/blocked-users - Status: 200 - Time: 0.047s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:29.229 | INFO     | core.middleware | GET /api/tts/audio-settings - Status: 200 - Time: 0.047s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:30.904 | INFO     | core.middleware | OPTIONS /api/tts/settings - Status: 200 - Time: 0.009s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:30.920 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:30.926 | INFO     | core.middleware | POST /api/tts/engine - Status: 200 - Time: 0.036s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:30.945 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:30.947 | INFO     | core.middleware | POST /api/tts/settings - Status: 200 - Time: 0.020s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.020 | INFO     | core.middleware | GET /api/tts/mode-settings - Status: 200 - Time: 0.047s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.024 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.055s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.025 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.052s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.025 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.056s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.026 | INFO     | core.middleware | GET /api/tts/platform-settings - Status: 200 - Time: 0.053s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.026 | INFO     | core.middleware | GET /api/tts/audio-settings - Status: 200 - Time: 0.057s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.060 | INFO     | core.middleware | GET /api/tts/filtered-words - Status: 200 - Time: 0.025s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.061 | INFO     | core.middleware | GET /api/tts/blocked-users - Status: 200 - Time: 0.029s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.936 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:31.938 | INFO     | core.middleware | POST /api/tts/settings - Status: 200 - Time: 0.030s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.990 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.038s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.991 | INFO     | core.middleware | GET /api/tts/mode-settings - Status: 200 - Time: 0.035s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.993 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.039s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.997 | INFO     | core.middleware | GET /api/tts/audio-settings - Status: 200 - Time: 0.042s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:31.997 | INFO     | core.middleware | GET /api/tts/platform-settings - Status: 200 - Time: 0.042s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:32.035 | INFO     | core.middleware | GET /api/tts/filtered-words - Status: 200 - Time: 0.031s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:32.036 | INFO     | core.middleware | GET /api/tts/blocked-users - Status: 200 - Time: 0.037s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:32.037 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.031s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:33.930 | WARNING  | middleware.logging_middleware | slow_request                   duration_ms=2016.82 environment=development filename=logging_middleware.py func_name=dispatch lineno=158 method=GET path=/api/tts/health service=bot_service threshold_ms=1000 version=0.03
2026-03-14T05:42:33.931 | INFO     | core.middleware | GET /api/tts/health - Status: 200 - Time: 2.021s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:33.952 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:33.954 | INFO     | core.middleware | POST /api/tts/engine - Status: 200 - Time: 0.014s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:44.044 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:44.049 | INFO     | services.tts.memory_tts_queue | Disabled TTS generation for user 1. Dropped pending tasks: 0
2026-03-14T05:42:44.051 | INFO     | core.middleware | POST /api/tts/engine - Status: 200 - Time: 0.030s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:44.052 | INFO     | core.middleware | POST /api/tts/settings - Status: 200 - Time: 0.032s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:44.179 | INFO     | core.middleware | GET /api/tts/settings - Status: 200 - Time: 0.068s - User: Anonymous - IP: 127.0.0.1
